Perusahaan,GPM19,GPM20,GPM21,NPM19,NPM20,NPM21
PT Adhi Karya (Persero) Tbk.,0.150,0.164,0.13398,0.037,0.017,-0.01066
PT PP (Persero) Tbk.,0.118,0.137,0.12972,0.049,0.017,0.02156
PT Nusa Konstruksi Enjiniring Tbk.,0.136,0.099,0.13892,0.001,-0.031,0.02139
PT Total Bangun Persada Tbk.,0.146,0.119,0.12117,0.071,0.047,0.05824
PT Jaya Kontruksi Manggala Pratama Tbk.,0.150,0.164,0.13398,0.037,0.017,-0.01066
PT Wijaya Karya (Persero) Tbk.,0.128,0.092,0.09515,0.096,0.019,0.01204
PT Nusa Raya Cipta Tbk.,0.105,0.110,0.11385,0.039,0.026,0.03093
PT Waskita Karya (Persero) Tbk.,0.179,-0.122,0.15531,0.033,-0.587,-0.15042
PT Cahayasakti Investo Sukses Tbk.,0.166,0.389,0.38699,-0.136,0.146,0.23719
PT Indonesia Pondasi Raya Tbk.,0.170,-0.354,0.02401,-0.004,-0.586,-0.1668
PT Totalindo Eka Persada Tbk.,0.119,0.022,0.05689,-0.283,-0.423,0.00095
PT Wijaya Karya Bangunan Gedung Tbk.,0.102,0.075,0.08537,0.100,0.056,0.0683
PT Superkrane Mitra Utama Tbk.,0.387,0.253,0.07165,0.201,0.019,0.00928
PT Paramita Bangun Sarana Tbk.,0.140,0.169,0.4314,0.022,0.078,0.29846
PT Lancartama Sejati Tbk.,0.427,0.436,0.33766,0.038,-0.159,0.05052
PT Surya Semesta Internusa Tbk.,0.272,0.216,0.21973,0.034,-0.026,-0.08125
