Perusahaan,GPM,NPM,ROS,ROCE
ADHI,0.1526,0.0434,0.0773,0.1732
PTPP,0.1430,0.0490,0.0503,0.0716
DGIK,0.1363,0.0013,0.0049,0.0067
TOTL,0.1456,0.0709,0.0721,0.1656
JKON,0.1498,0.0370,0.0472,0.0957
WIKA,0.1279,0.0963,0.1025,0.1452
NRCA,0.1047,0.0386,0.0640,0.1372
WSKT,0.1786,0.0328,0.0423,0.0456
CSIS,0.1659,-0.1364,-0.1400,-0.0460
IDPR,0.1703,-0.0037,-0.0003,-0.0002
TOPS,0.1188,-0.2832,-0.2832,-0.1214
WEGE,0.1018,0.0999,0.1000,0.1857
SKRN,0.3868,0.2014,0.2630,0.2433
PBSA,0.1396,0.0219,0.0399,0.0451
TAMA,0.4273,0.0383,0.0691,0.1273
SSIA,0.2724,0.0340,0.0411,0.0368
