Perusahaan,GPM19,GPM20,GPM21,OPM19,OPM20,OPM21,NPM19,NPM20,NPM21
PT. ADHI KARYA (Persero) Tbk.,0.150,0.164,0.134,0.047,0.030,-0.004,0.037,0.017,-0.011
PT. PP (Persero) Tbk.,0.118,0.137,0.130,0.050,0.048,0.058,0.049,0.017,0.022
PT. Nusa Konstruksi Enjiniring Tbk.,0.136,0.099,0.139,0.005,-0.029,0.028,0.001,-0.031,0.021
PT. Total Bangun Persada Tbk.,0.146,0.119,0.121,0.072,0.049,0.059,0.071,0.047,0.058
PT. Jaya Kontruksi Manggala Pratama Tbk.,0.150,0.164,0.134,0.047,0.030,-0.004,0.037,0.017,-0.011
PT. Wijaya Karya (Persero) Tbk.,0.128,0.092,0.095,0.103,0.019,0.011,0.096,0.019,0.012
PT. Nusa Raya Cipta Tbk.,0.105,0.110,0.114,0.064,0.054,0.058,0.039,0.026,0.031
PT. Waskita Karya (Persero) Tbk.,0.179,-0.122,0.155,0.042,-0.601,-0.089,0.033,-0.587,-0.150
PT. Cahayasakti Investo Sukses Tbk.,0.166,0.389,0.387,-0.140,0.180,0.259,-0.136,0.146,0.237
PT. Indonesia Pondasi Raya Tbk.,0.170,-0.354,0.024,0.000,-0.582,-0.164,-0.004,-0.586,-0.167
PT. Totalindo Eka Persada Tbk.,0.119,0.022,0.057,-0.211,-0.393,0.031,-0.283,-0.423,0.001
PT. Wijaya Karya Bangunan Gedung Tbk.,0.102,0.075,0.085,0.100,0.056,0.068,0.100,0.056,0.068
PT. Superkrane Mitra Utama Tbk.,0.387,0.253,0.072,0.263,0.027,-0.008,0.201,0.019,0.009
PT. Paramita Bangun Sarana Tbk.,0.140,0.169,0.431,0.040,0.096,0.331,0.022,0.078,0.298
PT. Lancartama Sejati Tbk.,0.427,0.436,0.338,0.069,-0.124,0.034,0.038,-0.159,0.051
PT. Surya Semesta Internusa Tbk.,0.272,0.216,0.220,0.041,-0.034,-0.083,0.034,-0.026,-0.081
